geneID	baseMean	log2FC_Vs-VS	log2FC_vs-Vs	log2FC_vs-VS	log2FC_vs-vS	log2FC_vS-Vs	log2FC_vS-VS	padj_Vs-VS	padj_vs-Vs	padj_vs-VS	padj_vs-vS	padj_vS-Vs	padj_vS-VS
AT3G50130	37.66973731	0.092123906	-0.744257697	-0.652133792	-0.338847389	-0.405410309	-0.313286403	1	0.00543418	0.018483417	0.261236784	0.172294023	0.319670629
AT3G50140	36.26788651	-0.258298658	-1.867256812	-2.12555547	-1.705493206	-0.161763605	-0.420062263	1	6.99E-10	2.05E-12	3.63E-08	0.646190743	0.184899587
AT3G50210	334.5442469	0.081735883	0.085142724	0.166878607	0.150105847	-0.064963123	0.01677276	1	0.483380646	0.160114271	0.219832959	0.647886571	0.914613178
AT3G50220	56.74181291	0.180569706	1.752646438	1.933216143	1.297298211	0.455348227	0.635917933	1	5.64E-09	3.45E-10	1.91E-05	0.206901501	0.075980535
AT3G50240	417.3632011	0.039545724	-1.054340428	-1.014794704	-0.25466964	-0.799670788	-0.760125064	1	6.48E-11	4.30E-10	0.166905808	2.03E-06	7.94E-06
AT3G50260	238.5519954	-0.098424338	0.757431781	0.659007443	0.1149719	0.642459881	0.544035543	1	1.69E-06	4.15E-05	0.53313115	0.000121781	0.001523011
AT3G50270	270.7979801	-0.143489315	-0.808937292	-0.952426607	-0.36880272	-0.440134571	-0.583623887	1	1.23E-07	4.73E-10	0.026407123	0.007531103	0.000313377
AT3G50280	28.61153273	-0.138232577	-1.454084781	-1.592317358	-0.66627717	-0.787807612	-0.926040189	1	1.13E-07	8.04E-09	0.030659727	0.00505705	0.000978246
AT3G50300	79.76629192	0.374130589	-0.563331928	-0.189201339	-1.12184126	0.558509332	0.932639921	1	0.031363514	0.51722001	9.71E-06	0.039410551	0.000488144
AT3G50340	232.9141621	0.133539221	0.184471347	0.318010568	-0.111172256	0.295643603	0.429182824	1	0.315179818	0.07683796	0.58055712	0.121727687	0.022246248
AT3G50350	89.3916843	0.043496221	-0.882870522	-0.839374301	-0.086322804	-0.796547718	-0.753051497	1	2.23E-06	1.06E-05	0.720802132	4.95E-05	0.000182729
