gene	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
AT1G03000	758	829	886	1321	1693	1450
AT1G03010	15	12	22	2	7	5
AT1G03020	26	26	38	29	38	53
AT1G03030	214	184	245	224	261	239
AT1G03040	428	520	629	421	562	458
AT1G03050	0	0	0	0	0	0
AT1G03055	115	141	138	147	189	131
AT1G03060	1693	2148	2625	1675	2509	2437
AT1G03070	11	5	14	4	5	7
AT1G03080	1436	1567	1907	1235	2090	1940
AT1G03090	429	537	578	496	695	606
AT1G03100	111	118	127	88	128	112
AT1G03103	0	0	0	0	0	0
AT1G03106	0	0	0	0	0	0
AT1G03110	177	154	134	117	106	67
AT1G03120	4	3	4	6	4	3
AT1G03130	44632	48182	31463	38662	40674	38088
AT1G03140	510	499	526	423	569	476
AT1G03150	353	297	289	231	296	214
AT1G03160	2638	2983	3457	3266	3975	3722
AT1G03165	15	8	14	13	17	12
AT1G03170	13	20	16	17	24	15
AT1G03180	37	37	46	40	56	47
AT1G03190	221	261	311	331	349	365
AT1G03200	22	16	27	26	38	33
AT1G03210	92	82	67	72	102	101
AT1G03220	165	220	189	200	266	197
AT1G03230	110	157	144	136	168	148
AT1G03240	2	2	3	3	5	7
AT1G03250	655	739	750	741	865	692
AT1G03260	126	148	181	142	149	132
AT1G03270	131	125	146	93	117	97
AT1G03280	502	565	564	533	667	640
AT1G03290	418	570	691	516	685	640
AT1G03300	146	166	129	276	296	272
AT1G03310	2424	2467	3615	2773	3090	2951
AT1G03320	10	8	4	8	9	7
AT1G03325	0	0	0	0	0	0
AT1G03330	168	177	178	147	177	124
AT1G03340	94	97	118	114	120	114
AT1G03350	968	1072	1088	875	1081	1024
AT1G03360	133	119	132	45	64	59
AT1G03365	592	666	644	522	612	578
AT1G03370	379	492	517	450	521	549
AT1G03380	686	873	1097	1012	1344	1250
AT1G03390	1	2	3	0	0	1
AT1G03395	0	0	0	0	0	0
AT1G03400	216	364	461	327	404	439
AT1G03410	259	350	272	351	372	417
AT1G03430	230	232	366	241	246	223
AT1G03440	315	283	278	185	237	149
AT1G03445	0	0	1	1	2	0
AT1G03457	55	45	38	42	43	47
AT1G03470	78	69	70	98	143	91
AT1G03475	4740	5175	5211	3698	4389	4032
AT1G03490	0	0	0	0	0	0
AT1G03495	0	3	0	2	2	0
AT1G03502	5	2	1	1	1	2
AT1G03506	0	0	0	0	0	0
AT1G03510	37	48	25	26	40	22
AT1G03515	0	0	0	0	0	0
AT1G03520	159	206	206	135	138	157
AT1G03530	187	217	178	146	243	220
AT1G03540	56	67	72	74	83	83
AT1G03545	32	37	68	36	61	50
AT1G03550	47	72	58	78	208	151
AT1G03560	176	226	219	250	286	280
AT1G03570	0	0	0	0	0	0
AT1G03590	335	415	363	269	379	333
AT1G03600	10422	10493	9802	8043	8691	7525
AT1G03610	439	495	536	468	496	484
AT1G03620	4	7	9	13	13	15
AT1G03630	9476	9088	8512	8140	9627	8206
AT1G03650	25	18	22	12	15	18
AT1G03660	4	3	3	2	0	0
AT1G03670	1	0	0	1	0	0
AT1G03680	3704	3641	4484	3100	3343	2966
AT1G03687	227	238	235	206	189	197
AT1G03700	0	0	0	0	0	0
AT1G03710	2	0	0	1	1	0
AT1G03720	0	0	0	0	0	0
AT1G03730	63	58	75	70	47	61
AT1G03740	651	891	919	1109	1431	1202
AT1G03743	0	0	0	0	0	0
AT1G03746	0	0	0	0	0	0
AT1G03750	141	147	168	164	181	164
AT1G03760	96	104	76	56	99	58
AT1G03770	63	79	75	32	54	45
AT1G03780	300	192	181	114	158	136
AT1G03790	0	0	0	0	0	0
AT1G03800	0	2	0	4	4	1
AT1G03810	0	0	0	0	0	0
AT1G03820	261	264	133	155	176	137
AT1G03830	203	252	209	163	254	198
AT1G03840	7	6	6	4	9	6
AT1G03850	11	8	8	30	36	24
AT1G03860	754	660	727	578	611	527
AT1G03870	1032	1163	894	1120	833	773
AT1G03880	0	0	0	0	0	0
AT1G03890	0	0	0	0	0	0
AT1G03900	544	520	560	423	516	475
AT1G03905	10	18	23	33	41	38
AT1G03910	937	1064	937	775	1052	987
AT1G03920	51	70	51	33	32	26
AT1G03930	1260	1382	1481	1273	1559	1375
AT1G03935	0	0	0	0	0	0
AT1G03940	3	4	5	8	8	2
AT1G03950	258	254	281	265	286	267
AT1G03960	165	193	157	193	280	222
AT1G03970	375	395	374	385	418	427
AT1G03980	4	3	6	2	5	1
AT1G03982	0	0	0	0	0	0
AT1G03987	0	0	0	0	0	0
AT1G03990	1	8	3	4	3	2
AT1G03993	2	3	9	0	4	2
AT1G03997	0	0	0	0	0	0
AT1G04000	87	85	83	90	91	57
AT1G04003	0	0	0	0	0	0
AT1G04007	1	0	0	1	0	0
AT1G04010	102	139	154	191	198	193
AT1G04013	0	1	1	1	0	0
AT1G04017	0	0	1	0	0	0
AT1G04020	295	272	294	180	184	190
AT1G04023	0	1	2	2	1	1
AT1G04027	0	0	0	2	0	1
AT1G04030	106	102	107	112	118	85
AT1G04033	0	0	0	0	0	0
AT1G04037	0	0	0	0	0	0
AT1G04040	2348	2819	2438	2075	1936	1818
AT1G04043	0	0	0	0	0	0
AT1G04047	3	1	3	1	2	1
AT1G04050	40	53	51	43	58	41
AT1G04053	30	24	27	29	39	28
AT1G04057	0	0	0	0	0	0
AT1G04063	0	0	0	0	0	0
AT1G04067	0	1	1	4	1	0
AT1G04070	36	26	24	21	25	22
AT1G04073	2	0	0	0	0	2
AT1G04077	6	3	0	2	1	1
AT1G04080	1532	1713	1922	1521	2081	1767
AT1G04083	0	0	0	0	0	0
AT1G04087	0	0	0	0	0	0
AT1G04090	28	35	24	34	29	23
AT1G04093	0	1	0	0	0	2
AT1G04097	0	0	4	0	1	1
AT1G04100	58	87	70	91	124	89
AT1G04103	0	0	0	0	0	0
AT1G04105	0	1	0	0	0	0
AT1G04110	435	253	212	71	79	42
AT1G04117	2	4	3	3	2	6
AT1G04120	1418	1511	1678	1269	1521	1404
AT1G04123	6	0	1	2	1	3
AT1G04127	0	0	0	0	0	0
AT1G04130	153	201	168	104	136	115
AT1G04133	0	0	1	0	1	1
AT1G04137	0	0	0	0	0	1
AT1G04140	1575	1806	2349	1884	2327	2307
AT1G04143	0	0	0	0	0	0
AT1G04147	0	0	0	0	0	0
AT1G04150	0	0	0	0	0	0
AT1G04153	0	0	0	0	0	0
AT1G04157	0	0	0	0	0	0
AT1G04160	293	283	272	188	296	231
AT1G04163	1	0	3	0	1	0
AT1G04167	0	0	0	0	0	0
AT1G04170	1468	1383	1600	896	1073	883
AT1G04173	0	0	0	0	0	0
AT1G04177	0	0	0	0	0	0
AT1G04180	48	45	49	2	9	15
AT1G04183	242	269	426	274	307	310
AT1G04187	4	3	3	1	1	2
AT1G04190	423	450	421	331	430	365
AT1G04193	27	18	5	18	29	24
AT1G04197	4	0	4	10	4	4
AT1G04200	360	344	452	301	354	318
AT1G04203	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0
AT1G04210	1356	1556	1612	1125	1342	1236
AT1G04213	0	0	0	0	0	0
AT1G04217	5	7	13	0	4	4
AT1G04220	25	32	43	36	26	53
AT1G04223	43	17	23	48	45	32
AT1G04227	3	1	1	4	1	2
AT1G04230	234	192	206	198	235	226
AT1G04233	6	10	15	23	19	6
AT1G04237	1	0	0	3	1	0
AT1G04240	1237	1383	1328	1632	1787	1879
AT1G04243	0	0	0	0	0	0
AT1G04247	3	4	5	4	2	4
AT1G04250	564	681	794	818	940	687
AT1G04253	0	0	0	0	0	0
AT1G04257	0	0	0	0	0	0
AT1G04260	114	98	121	96	138	90
AT1G04263	10	3	3	6	3	2
AT1G04267	6	2	0	0	0	1
AT1G04270	6592	5007	4902	3582	4168	2735
AT1G04273	5	7	2	2	4	1
AT1G04277	28	14	13	9	13	13
AT1G04280	220	368	380	299	483	395
AT1G04283	0	0	0	0	0	0
AT1G04287	0	0	0	0	0	0
AT1G04290	155	187	286	284	245	291
AT1G04293	0	0	0	0	0	0
AT1G04295	3	7	11	13	12	8
AT1G04297	0	1	0	0	0	0
AT1G04300	1603	1972	1892	1687	2319	2206
AT1G04303	0	0	0	0	0	0
AT1G04307	0	0	0	0	0	0
AT1G04310	83	86	93	28	32	32
AT1G04313	39	45	25	28	60	59
AT1G04320	0	0	0	0	0	0
AT1G04323	0	0	0	0	1	0
AT1G04327	0	0	0	0	0	0
AT1G04330	4	6	5	2	7	5
AT1G04333	0	0	0	0	0	0
AT1G04337	0	0	0	0	0	0
AT1G04340	145	141	127	83	109	62
AT1G04343	29	17	22	20	20	12
AT1G04347	1	3	0	1	1	2
AT1G04350	630	714	927	818	1012	910
AT1G04353	1	2	1	2	1	2
AT1G04357	4	9	16	9	14	10
AT1G04360	61	79	55	67	81	67
AT1G04363	1	0	1	0	4	2
AT1G04367	0	0	0	0	0	0
AT1G04370	1	0	0	0	0	0
AT1G04373	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0
AT1G04380	3	0	3	0	4	4
AT1G04383	0	0	0	0	0	0
AT1G04387	0	0	0	0	0	0
AT1G04390	295	373	418	602	791	747
AT1G04393	0	0	0	0	0	1
AT1G04397	0	1	0	0	0	0
AT1G04400	3475	3860	4327	3016	3491	3508
AT1G04403	0	0	0	0	0	0
AT1G04407	0	0	0	0	0	0
AT1G04410	10323	11421	14540	10962	12244	11326
AT1G04413	0	0	0	0	1	0
AT1G04417	0	0	0	0	0	0
AT1G04420	3280	3274	3610	3583	4006	3279
AT1G04423	0	0	0	0	0	0
AT1G04425	9	4	4	1	3	1
AT1G04427	0	1	0	2	0	0
AT1G04430	3027	3130	3194	2542	2640	2409
AT1G04433	2	1	1	2	3	1
AT1G04437	1	0	3	0	0	0
AT1G04440	1301	1632	1835	1365	1699	1535
AT1G04443	0	0	0	0	0	0
AT1G04445	1	0	2	1	0	1
AT1G04447	0	0	0	0	0	0
