gene	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
AT2G40070	979	1044	1151	706	874	948
AT2G40080	24	45	57	17	23	28
AT2G40085	34	13	25	15	11	20
AT2G40090	170	165	185	157	213	155
AT2G40095	14	24	12	23	37	27
AT2G40100	979	835	813	1032	842	693
AT2G40110	102	106	54	76	111	72
AT2G40113	0	0	0	0	0	0
AT2G40116	0	1	1	0	0	0
AT2G40120	85	97	130	115	161	121
AT2G40130	318	342	504	332	390	417
AT2G40140	299	272	275	265	350	299
AT2G40150	160	167	140	131	133	137
AT2G40160	10	2	7	1	4	1
AT2G40165	7	9	3	8	11	11
AT2G40170	0	0	0	0	0	0
AT2G40180	17	17	14	2	5	8
AT2G40190	207	206	223	252	314	281
AT2G40200	3	8	1	2	3	5
AT2G40205	214	125	137	95	74	47
AT2G40210	0	0	0	0	0	0
AT2G40220	0	0	0	0	0	0
AT2G40230	50	74	79	47	36	37
AT2G40240	65	71	40	45	45	52
AT2G40250	0	0	0	1	1	0
AT2G40260	190	208	206	102	139	127
AT2G40270	725	971	1021	1011	1349	1340
AT2G40280	438	498	585	765	835	897
AT2G40290	1975	1852	1431	1235	1563	1519
AT2G40300	498	454	766	90	76	58
AT2G40310	0	0	0	1	0	0
AT2G40316	218	201	270	370	383	370
AT2G40320	81	130	75	74	101	67
AT2G40330	35	22	16	19	22	23
AT2G40340	24	22	28	13	29	21
AT2G40350	1	1	0	0	0	2
AT2G40360	1490	1219	1133	655	985	726
AT2G40370	0	0	0	0	0	0
AT2G40380	156	151	151	119	120	106
AT2G40390	86	72	90	56	72	70
AT2G40400	2823	3034	3372	2906	3464	2972
AT2G40410	506	622	645	677	792	753
AT2G40420	171	246	308	310	414	355
AT2G40430	1477	1573	1745	969	1233	1055
AT2G40435	211	249	240	198	238	212
AT2G40440	0	0	1	0	0	0
AT2G40450	0	0	0	0	0	0
AT2G40460	342	398	440	484	523	544
AT2G40470	5	3	2	2	1	0
AT2G40475	200	146	127	114	106	94
AT2G40480	254	261	253	418	534	448
AT2G40490	12337	12529	11627	8468	10052	8027
AT2G40500	0	0	0	0	0	0
AT2G40510	978	906	740	606	559	500
AT2G40520	225	331	428	445	587	483
AT2G40530	30	30	13	33	26	42
AT2G40540	955	1088	1105	793	917	889
AT2G40550	269	295	221	146	181	170
AT2G40560	0	0	0	0	0	0
AT2G40570	374	362	452	302	400	348
AT2G40580	0	0	0	0	0	0
AT2G40590	946	769	451	495	500	380
AT2G40600	284	292	393	224	283	304
AT2G40610	1684	2149	2559	1937	2697	2500
AT2G40620	125	138	140	155	143	177
AT2G40630	336	379	483	310	350	269
AT2G40640	168	213	196	121	170	132
AT2G40650	434	484	438	341	480	462
AT2G40660	911	821	874	586	718	554
AT2G40670	162	169	202	240	277	167
AT2G40690	355	334	334	321	342	241
AT2G40700	338	325	215	201	253	207
AT2G40710	5	9	11	8	2	9
AT2G40711	48	44	44	61	50	48
AT2G40715	1	0	1	0	1	0
AT2G40720	66	84	93	60	86	88
AT2G40730	1151	1234	1356	1114	1301	1177
AT2G40740	1	1	3	0	0	0
AT2G40745	0	0	0	0	0	0
AT2G40750	175	381	413	263	302	435
AT2G40760	514	580	554	436	489	458
AT2G40765	1062	1034	1119	896	1032	881
AT2G40770	682	679	879	752	952	919
AT2G40780	80	75	88	54	78	62
AT2G40790	4	3	0	3	4	5
AT2G40800	515	570	597	473	527	442
AT2G40805	0	0	0	0	0	0
AT2G40810	134	210	182	147	183	157
AT2G40815	166	164	125	142	172	167
AT2G40820	237	212	164	138	137	107
AT2G40830	331	381	435	313	411	409
AT2G40840	7525	7971	11068	7971	10340	10216
AT2G40850	3	2	4	0	6	8
AT2G40860	420	429	473	335	384	397
AT2G40880	1803	1702	1633	1519	1957	1581
AT2G40890	1086	1308	1275	1030	1450	1290
AT2G40900	64	89	85	65	91	66
AT2G40910	1	0	0	1	0	2
AT2G40920	915	934	825	627	844	730
AT2G40925	1	2	3	0	1	0
AT2G40930	463	462	619	371	462	383
AT2G40935	112	93	114	170	176	153
AT2G40940	746	728	846	601	743	638
AT2G40950	522	628	538	406	557	565
AT2G40955	0	0	1	0	1	2
AT2G40960	536	564	648	684	812	693
AT2G40970	76	107	78	125	122	128
AT2G40980	444	346	415	340	382	347
AT2G40990	0	0	0	0	0	0
AT2G40995	0	0	0	0	0	0
AT2G41000	85	82	111	150	200	175
AT2G41010	28	23	17	18	32	17
AT2G41020	190	220	218	262	265	251
AT2G41040	236	240	248	281	271	236
AT2G41050	155	133	131	116	135	128
AT2G41060	774	1012	1010	1034	1365	1166
AT2G41070	10	17	10	49	71	54
AT2G41080	191	227	255	351	401	406
AT2G41082	2	9	10	9	10	9
AT2G41090	3955	6001	6480	4476	5187	6009
AT2G41100	257	404	402	602	678	524
AT2G41105	0	1	1	1	1	0
AT2G41110	637	789	536	481	501	442
AT2G41120	263	318	324	332	365	306
AT2G41130	63	81	72	43	65	48
AT2G41140	761	903	1028	657	891	678
AT2G41150	35	28	50	30	31	34
AT2G41160	147	129	180	86	134	110
AT2G41170	286	306	325	196	209	222
AT2G41178	16	10	9	16	10	8
AT2G41180	126	117	96	139	123	95
AT2G41190	54	59	95	81	94	86
AT2G41200	85	86	86	52	79	77
AT2G41210	185	159	205	157	199	195
AT2G41220	672	832	895	696	842	753
AT2G41225	0	0	0	0	0	0
AT2G41230	4	0	0	2	1	0
AT2G41231	0	0	1	0	2	0
AT2G41240	26	5	4	298	780	542
AT2G41250	292	265	322	394	475	334
AT2G41260	0	0	0	0	0	0
AT2G41280	0	0	0	0	0	0
AT2G41290	62	79	60	72	93	81
AT2G41300	42	42	60	28	39	20
AT2G41310	72406	72469	46363	61292	82057	77409
AT2G41312	12	20	9	13	15	10
AT2G41330	109	111	88	100	102	68
AT2G41340	50	24	32	21	23	9
AT2G41342	6	5	2	9	5	11
AT2G41350	313	342	335	290	291	266
AT2G41355	0	0	0	0	0	0
AT2G41360	0	0	0	0	0	0
AT2G41370	121	139	167	115	152	144
AT2G41375	0	0	2	0	1	0
AT2G41380	7	22	11	12	12	13
AT2G41390	0	0	0	0	0	0
AT2G41400	0	0	0	0	0	0
AT2G41410	402	427	246	418	531	367
AT2G41415	0	0	0	0	0	0
AT2G41417	0	0	0	0	0	0
AT2G41420	590	694	728	546	597	484
AT2G41430	8882	8765	9162	11001	12380	10855
AT2G41440	82	86	67	65	101	66
AT2G41445	1	1	1	1	1	1
AT2G41450	34	31	32	16	30	27
AT2G41451	3	0	0	0	2	1
AT2G41460	230	261	226	172	249	214
AT2G41470	0	0	1	0	2	1
AT2G41473	0	0	0	0	0	0
AT2G41475	159	220	255	189	180	193
AT2G41480	9	11	26	16	21	11
AT2G41490	150	187	187	218	216	196
AT2G41500	192	227	203	183	261	210
AT2G41505	13	9	14	31	48	32
AT2G41510	4	6	0	6	6	2
AT2G41515	7	1	2	4	0	4
AT2G41520	565	641	646	561	720	615
AT2G41530	1709	1731	1908	1560	1660	1576
AT2G41540	630	615	669	413	505	431
AT2G41550	78	75	99	52	72	58
AT2G41560	5411	6136	7850	5265	7013	6168
AT2G41590	0	0	1	1	2	3
AT2G41600	396	302	346	243	272	241
AT2G41610	14	8	14	6	10	5
AT2G41616	0	0	0	0	0	0
AT2G41620	702	837	810	583	745	640
AT2G41630	823	721	821	614	758	669
AT2G41640	20	38	39	72	56	48
AT2G41650	434	409	415	277	309	246
AT2G41660	9	7	0	2	4	5
AT2G41670	87	65	46	56	59	49
AT2G41680	7196	7663	6954	7890	9220	7734
AT2G41690	0	0	0	1	0	0
AT2G41700	911	1142	1502	1131	1477	1397
AT2G41705	247	299	369	318	477	402
AT2G41710	237	282	295	243	346	321
AT2G41720	1213	1351	1618	1156	1470	1150
AT2G41730	21	20	19	30	36	27
AT2G41740	2320	2661	2891	2222	2582	2588
AT2G41750	41	41	39	22	42	28
AT2G41760	229	224	303	229	311	246
AT2G41770	667	697	830	611	675	669
AT2G41780	8	10	24	8	10	6
AT2G41790	2152	2393	2812	2269	2666	2502
AT2G41800	1	0	0	1	0	0
AT2G41810	0	2	0	0	0	1
AT2G41820	747	734	867	490	604	519
AT2G41830	140	206	189	211	228	244
AT2G41835	86	90	117	87	80	89
AT2G41840	4521	4690	4615	2940	3839	2637
AT2G41850	0	0	0	0	0	0
AT2G41860	0	0	0	0	0	0
AT2G41870	496	612	707	899	1193	1110
AT2G41880	209	215	209	240	286	268
AT2G41890	383	345	566	328	468	344
AT2G41900	1809	1922	2282	1791	2248	1993
AT2G41905	46	25	44	23	14	17
AT2G41910	0	0	0	0	0	0
AT2G41920	0	0	0	0	0	0
AT2G41930	0	0	1	0	0	0
AT2G41940	1056	954	834	817	855	781
AT2G41945	76	72	78	65	82	85
AT2G41950	547	516	597	322	317	277
AT2G41960	1306	1587	1595	1248	1675	1649
AT2G41970	0	1	0	1	0	0
AT2G41980	415	471	497	477	650	568
AT2G41990	66	37	24	23	29	10
AT2G41997	0	0	0	0	0	0
AT2G42000	0	0	0	0	0	0
AT2G42005	0	0	0	2	1	1
AT2G42010	412	579	577	538	718	687
AT2G42020	0	0	0	0	0	0
AT2G42030	636	834	955	774	990	946
AT2G42040	139	163	155	115	134	132
AT2G42060	0	0	0	0	0	0
AT2G42065	0	1	0	2	3	1
AT2G42070	744	750	833	863	960	974
AT2G42080	250	233	256	172	235	214
AT2G42090	0	0	1	1	0	1
AT2G42100	0	0	0	0	0	0
AT2G42110	20	15	11	7	8	5
AT2G42120	129	146	128	139	127	119
AT2G42130	1675	1607	1810	1280	1379	1280
AT2G42140	2	1	2	0	0	0
AT2G42150	5	13	9	4	7	6
AT2G42160	301	310	374	338	371	310
AT2G42170	457	479	429	472	451	435
AT2G42180	0	0	0	0	0	0
AT2G42190	951	908	1019	1107	1379	1393
AT2G42200	143	148	172	128	149	146
AT2G42210	1928	1853	1872	1343	1436	1177
AT2G42220	15460	16023	15122	10860	13058	10855
AT2G42230	447	476	587	384	410	377
AT2G42240	142	150	162	103	134	98
AT2G42247	247	236	297	388	460	446
AT2G42250	14	8	9	6	17	11
AT2G42260	44	67	55	42	34	41
AT2G42270	748	933	1155	664	992	928
AT2G42280	237	327	279	160	195	179
AT2G42290	100	116	116	123	149	145
AT2G42300	591	682	754	456	527	521
AT2G42310	629	582	499	465	510	450
AT2G42320	1751	1945	2054	2123	2517	2167
AT2G42330	240	315	336	265	408	320
AT2G42340	0	1	3	2	0	0
AT2G42350	1	3	2	1	0	0
AT2G42360	1	2	3	0	11	3
AT2G42365	57	86	63	93	89	74
AT2G42370	70	80	64	102	147	143
AT2G42380	1123	1416	1055	988	1065	1010
AT2G42388	6	9	13	3	7	9
AT2G42390	244	259	305	315	349	348
AT2G42395	34	30	34	24	31	26
AT2G42400	356	434	394	334	357	365
AT2G42410	0	0	0	0	0	0
AT2G42425	0	0	0	0	0	0
AT2G42430	0	0	0	0	0	0
AT2G42440	0	0	0	0	0	0
AT2G42450	149	156	150	122	150	121
AT2G42455	0	0	0	0	0	0
AT2G42460	0	0	0	0	0	0
AT2G42465	0	0	0	0	0	0
AT2G42470	0	0	0	0	0	0
AT2G42475	0	0	0	0	0	0
AT2G42480	0	1	0	2	0	0
AT2G42485	107	89	101	99	73	67
AT2G42490	979	1285	1277	1812	2318	2033
AT2G42500	552	662	681	615	826	684
AT2G42510	122	115	117	80	120	98
AT2G42520	139	263	272	115	181	229
AT2G42530	1324	1479	1913	2224	2256	3574
AT2G42540	1221	1467	2045	2352	2120	3792
AT2G42550	0	0	0	0	0	0
AT2G42560	0	0	0	0	0	0
AT2G42570	105	112	79	74	82	51
AT2G42580	1132	1508	1451	1610	1179	1271
AT2G42590	4758	5043	5430	4224	5151	4526
AT2G42600	10354	10686	12892	10545	12207	11003
AT2G42610	217	196	120	134	159	123
AT2G42620	766	877	999	677	868	753
AT2G42640	55	67	91	84	103	109
AT2G42650	104	114	89	70	64	50
AT2G42660	1	1	0	0	0	0
AT2G42670	313	339	308	397	439	370
AT2G42680	901	1025	1219	1013	1047	983
AT2G42690	2739	2878	3464	2599	3043	2620
AT2G42700	343	402	395	338	446	388
AT2G42710	391	358	334	284	368	292
AT2G42720	4	3	6	7	2	3
AT2G42725	0	0	0	0	0	0
AT2G42730	48	48	60	50	77	53
AT2G42740	125	85	72	75	120	76
AT2G42750	3423	4082	4105	8649	12250	11292
AT2G42760	114	173	112	141	186	226
AT2G42770	698	643	741	607	636	520
AT2G42780	373	421	495	393	473	399
AT2G42790	467	545	694	602	699	650
AT2G42800	5	11	10	0	1	5
AT2G42810	803	907	959	769	852	733
AT2G42820	51	64	84	46	55	44
AT2G42830	4	5	0	1	7	1
AT2G42835	0	0	0	0	0	0
AT2G42840	151	74	53	25	30	12
AT2G42850	5	9	10	2	5	6
AT2G42860	1	0	0	0	0	0
AT2G42865	0	1	0	0	2	0
AT2G42870	424	309	212	230	179	105
AT2G42880	1952	2090	2081	2140	2442	2309
AT2G42885	0	0	0	0	0	0
AT2G42890	258	293	400	374	479	374
AT2G42900	105	99	107	88	130	104
AT2G42910	413	496	484	329	365	330
AT2G42920	411	541	541	467	626	551
AT2G42930	0	0	0	0	0	0
AT2G42940	0	0	2	0	3	1
AT2G42950	126	124	179	195	211	179
AT2G42955	6	0	0	3	9	5
AT2G42960	184	184	177	119	132	104
AT2G42975	364	314	242	358	363	306
AT2G42980	2	3	2	1	2	2
AT2G42990	7	1	2	0	0	1
AT2G43000	0	0	0	1	2	2
AT2G43010	2055	2671	2778	2328	2859	2734
AT2G43020	522	573	795	793	911	989
AT2G43030	16429	16074	14337	9770	11073	9179
AT2G43040	61	42	38	39	27	20
AT2G43050	0	2	0	1	0	0
AT2G43060	172	201	153	262	328	283
AT2G43070	810	791	936	738	859	748
AT2G43080	174	164	156	158	231	182
AT2G43090	3313	3299	3329	2584	3043	2537
AT2G43100	1968	2291	2218	3224	2565	2483
AT2G43110	270	292	238	138	194	150
AT2G43120	149	236	249	256	224	233
AT2G43130	379	329	359	352	418	354
AT2G43137	0	0	0	0	0	0
AT2G43138	0	0	0	0	0	0
AT2G43139	0	0	0	0	0	0
AT2G43140	1	0	1	1	1	0
AT2G43141	0	0	0	0	0	0
AT2G43150	11	44	20	33	32	51
AT2G43160	2583	3427	3568	2617	3486	3247
AT2G43180	380	453	524	386	438	345
AT2G43190	132	161	178	97	114	122
AT2G43200	378	604	550	520	626	650
AT2G43210	276	359	373	300	385	363
AT2G43220	0	0	0	0	0	0
AT2G43230	19	11	27	17	10	7
AT2G43235	179	199	202	173	244	161
AT2G43240	249	248	281	207	242	210
AT2G43250	158	190	237	158	202	173
AT2G43255	1	0	0	0	0	0
AT2G43260	136	139	183	115	155	123
AT2G43261	0	0	1	0	1	2
AT2G43270	0	1	1	0	0	0
AT2G43280	242	236	195	189	205	159
AT2G43290	302	342	179	400	327	241
AT2G43300	0	0	0	0	0	0
AT2G43310	7	15	22	13	9	7
AT2G43320	102	112	99	94	127	92
AT2G43330	438	535	604	582	655	549
AT2G43340	261	298	243	310	301	231
AT2G43350	390	365	418	373	418	365
AT2G43360	1192	1168	1409	781	986	720
AT2G43370	78	91	112	108	128	92
AT2G43375	334	261	303	168	209	198
AT2G43386	0	0	0	0	0	0
AT2G43390	0	0	0	0	0	0
AT2G43400	419	512	529	587	700	653
AT2G43410	1035	1110	1152	716	876	828
AT2G43420	282	368	383	264	322	288
AT2G43430	275	286	403	312	351	326
AT2G43440	9	10	13	10	18	11
AT2G43445	42	67	41	31	47	34
AT2G43450	0	0	0	0	0	0
AT2G43460	1917	1674	1733	981	1128	740
AT2G43465	90	91	74	143	160	173
AT2G43470	2	0	2	1	1	0
AT2G43480	0	0	0	0	0	1
AT2G43490	309	323	401	268	393	354
AT2G43500	311	296	367	356	519	424
AT2G43510	10	18	6	20	25	19
AT2G43520	49	44	45	18	19	17
AT2G43530	111	128	175	147	84	131
AT2G43535	193	175	254	405	421	411
AT2G43540	39	23	24	48	60	62
AT2G43550	221	209	273	172	155	159
AT2G43560	4373	4017	3981	3662	3847	3019
AT2G43570	1	2	2	3	22	5
AT2G43580	0	0	0	0	0	0
AT2G43590	161	114	143	105	178	104
AT2G43600	4	0	0	1	1	0
AT2G43610	14	22	17	2	10	12
AT2G43620	3	2	5	4	9	2
AT2G43630	1972	1722	1531	1212	1334	1130
AT2G43640	330	279	314	232	236	225
AT2G43650	1299	1151	901	656	908	678
AT2G43660	0	0	0	0	0	0
AT2G43670	0	0	0	0	0	0
AT2G43680	1408	1512	1259	1181	1604	1439
AT2G43690	40	40	45	44	32	37
AT2G43700	41	69	93	119	165	155
AT2G43710	4118	4109	3858	2976	3458	3030
AT2G43720	36	34	14	22	32	23
AT2G43730	0	0	0	0	0	0
AT2G43740	0	0	0	0	0	0
AT2G43745	108	111	60	62	52	64
AT2G43750	4499	4396	4864	3504	3552	2829
AT2G43760	876	887	839	870	978	824
AT2G43770	417	395	381	312	365	256
AT2G43780	133	146	133	109	125	102
AT2G43790	844	832	965	722	867	799
AT2G43795	0	1	0	0	0	0
AT2G43800	157	162	117	75	118	85
AT2G43810	367	308	274	239	291	221
AT2G43820	302	473	425	454	540	480
AT2G43840	22	21	20	14	31	14
AT2G43850	192	297	289	525	644	628
AT2G43860	0	0	0	0	0	0
AT2G43865	0	0	0	0	0	0
AT2G43870	14	9	9	4	17	1
AT2G43880	0	0	0	0	0	0
AT2G43890	0	0	0	3	2	2
AT2G43900	707	744	793	1285	1595	1479
AT2G43910	1975	1811	1603	1706	2199	1869
AT2G43920	245	259	198	202	211	190
AT2G43930	19	15	26	55	63	42
AT2G43940	74	69	89	85	91	78
AT2G43945	1580	1426	1963	1423	1339	1316
AT2G43950	539	505	490	357	451	371
AT2G43960	0	0	1	0	0	0
AT2G43970	6661	9236	8194	6523	7672	7682
AT2G43980	197	208	275	272	346	283
AT2G43990	80	69	55	57	61	69
AT2G44000	14	15	20	12	12	9
AT2G44010	0	0	0	0	0	0
AT2G44020	121	149	167	108	105	83
AT2G44030	0	0	0	0	0	0
AT2G44040	681	734	865	642	672	527
AT2G44050	1326	1323	1346	882	1001	755
AT2G44060	4498	4407	5019	4054	4627	4005
AT2G44065	424	400	374	264	325	257
AT2G44070	2	0	1	0	0	0
AT2G44080	117	128	92	37	55	20
AT2G44090	1105	1063	1410	1217	1366	1245
AT2G44100	2086	2264	2215	1918	2123	1954
AT2G44110	0	0	0	0	0	0
AT2G44120	4105	3385	3506	2061	2284	1521
AT2G44130	158	207	198	239	280	185
AT2G44140	405	488	549	498	586	501
AT2G44150	343	380	465	331	412	319
AT2G44160	2523	2621	2981	1746	1968	1638
AT2G44175	0	0	0	0	0	0
AT2G44180	505	593	523	565	648	594
AT2G44190	37	29	24	21	13	18
AT2G44195	1	3	1	1	1	1
AT2G44198	0	0	0	0	0	0
AT2G44200	187	192	210	161	258	237
AT2G44210	3676	4311	5554	3185	3821	3452
AT2G44220	0	0	0	0	0	0
AT2G44230	728	851	761	840	944	904
AT2G44240	0	0	0	1	1	0
AT2G44250	3	2	3	2	4	2
AT2G44255	142	144	187	160	190	178
AT2G44260	70	98	83	41	59	66
AT2G44270	349	225	305	239	232	164
AT2G44280	54	54	57	51	72	55
AT2G44290	111	120	151	206	182	193
AT2G44300	101	99	80	42	25	36
AT2G44310	694	736	836	615	742	606
AT2G44320	0	0	0	0	0	0
AT2G44330	0	0	0	0	0	0
AT2G44340	0	0	0	0	0	0
AT2G44350	1745	2066	2311	1566	1685	1547
AT2G44360	223	239	226	227	247	176
AT2G44370	2	1	0	2	1	0
AT2G44380	0	3	0	0	0	0
AT2G44390	0	0	0	0	0	0
AT2G44400	0	2	1	0	0	0
AT2G44410	401	477	531	460	519	474
AT2G44420	122	104	173	134	139	136
AT2G44430	115	137	139	103	141	137
AT2G44440	239	261	286	193	225	195
AT2G44450	18	17	9	6	7	7
AT2G44460	16	23	4	1	9	3
AT2G44470	0	0	0	0	0	1
AT2G44480	2	0	0	2	2	4
AT2G44490	2709	3384	4077	3581	4587	4226
AT2G44500	102	171	84	279	153	163
AT2G44510	78	74	73	41	62	34
AT2G44520	343	294	368	452	470	449
AT2G44525	208	232	311	177	185	168
AT2G44530	733	697	788	592	657	565
AT2G44540	2	0	0	0	0	0
AT2G44550	0	0	0	0	0	0
AT2G44560	0	0	2	0	0	0
AT2G44570	21	13	13	6	5	6
AT2G44578	1	1	0	0	0	0
AT2G44580	288	256	271	168	214	166
AT2G44581	0	0	0	0	0	0
AT2G44590	3	1	3	2	6	5
AT2G44600	65	50	65	34	64	33
AT2G44610	1089	1066	1026	843	903	798
AT2G44620	812	798	879	640	644	535
AT2G44630	40	45	26	23	37	28
AT2G44640	881	770	764	484	541	393
AT2G44650	3975	3455	3702	1884	2185	1702
AT2G44660	199	195	173	151	181	145
AT2G44670	449	462	421	333	382	321
AT2G44680	376	460	597	418	486	482
AT2G44690	25	29	17	16	15	9
AT2G44700	33	26	52	26	31	30
AT2G44710	331	509	448	537	803	676
AT2G44730	444	449	320	413	497	478
AT2G44735	0	1	1	0	1	1
AT2G44740	242	238	301	201	179	188
AT2G44745	8	5	4	4	3	4
AT2G44750	69	101	89	146	179	165
AT2G44760	1468	1472	1307	954	1159	1046
AT2G44770	272	269	369	323	341	263
AT2G44790	14	13	17	5	6	9
AT2G44798	56	56	75	115	126	104
AT2G44800	2	2	3	7	3	0
AT2G44810	2	0	0	0	0	0
AT2G44820	353	372	343	335	385	327
AT2G44830	257	234	237	132	195	137
AT2G44840	3	2	1	1	4	3
AT2G44850	47	51	59	125	141	134
AT2G44860	1595	1393	1004	795	946	672
AT2G44870	1682	1582	1915	1562	1817	1406
AT2G44880	29	38	31	42	53	48
AT2G44890	0	0	0	0	0	0
AT2G44900	847	932	960	709	790	718
AT2G44910	3	0	3	0	5	2
AT2G44920	2323	2129	2098	1983	2037	1990
AT2G44925	0	0	0	0	0	0
AT2G44930	42	73	70	41	55	44
AT2G44940	646	571	519	432	642	536
AT2G44950	798	937	1108	1069	1341	1093
AT2G44970	383	423	478	529	527	494
AT2G44980	160	159	162	142	151	138
AT2G44990	0	2	0	0	1	0
AT2G44993	3	1	7	1	6	7
AT2G44995	9	10	9	46	41	63
AT2G45000	199	167	136	136	171	158
AT2G45010	276	275	260	235	251	211
AT2G45020	0	0	0	0	0	0
AT2G45023	104	67	55	426	403	332
AT2G45030	534	482	546	424	548	391
AT2G45040	5	6	5	5	6	9
AT2G45050	32	28	5	11	20	10
AT2G45060	560	524	527	402	443	428
AT2G45070	843	820	730	690	689	632
AT2G45080	38	31	37	24	22	14
AT2G45100	236	247	266	187	216	175
AT2G45110	0	0	0	0	0	0
AT2G45120	27	25	21	24	11	19
AT2G45130	6	3	4	0	1	0
AT2G45135	1	0	2	4	2	0
AT2G45140	433	458	414	388	451	410
AT2G45150	149	137	183	110	149	146
AT2G45160	385	338	363	281	288	219
AT2G45170	588	605	458	555	610	493
AT2G45180	24335	22110	18750	17134	21353	15738
AT2G45190	449	415	400	427	481	403
AT2G45200	615	611	705	518	620	565
AT2G45210	1	1	10	1	1	3
AT2G45220	0	0	0	0	5	0
AT2G45240	500	502	547	465	513	448
AT2G45243	1	2	1	3	3	1
AT2G45245	22	31	29	34	37	32
AT2G45250	657	663	548	591	706	723
AT2G45260	586	650	607	425	544	471
AT2G45270	573	663	636	695	790	721
AT2G45280	56	57	65	52	73	51
AT2G45290	218	207	214	139	204	164
AT2G45300	845	957	1181	692	821	702
AT2G45310	296	312	256	174	181	175
AT2G45315	107	126	104	131	164	145
AT2G45320	54	54	86	123	149	109
AT2G45330	346	347	367	202	305	223
AT2G45340	905	868	953	789	1046	847
AT2G45350	79	91	137	78	122	103
AT2G45360	0	0	1	0	4	1
AT2G45380	537	614	649	606	768	698
AT2G45400	74	101	70	49	56	42
AT2G45403	0	0	0	0	0	0
AT2G45405	0	0	0	0	0	0
AT2G45406	0	0	0	0	0	0
AT2G45410	0	0	0	0	0	0
AT2G45420	2	2	2	0	1	3
AT2G45430	0	2	3	2	0	0
AT2G45440	927	747	701	568	515	464
AT2G45450	153	123	108	89	112	87
AT2G45460	274	228	285	221	270	257
AT2G45470	3336	3921	4139	2173	2668	2478
AT2G45480	10	13	11	9	7	8
AT2G45490	28	31	26	15	14	20
AT2G45500	178	201	272	249	246	186
AT2G45510	48	63	106	80	135	161
AT2G45520	531	568	428	460	546	431
AT2G45530	254	268	290	300	412	326
AT2G45540	2860	3478	3830	2543	3359	3147
AT2G45550	0	0	4	0	0	0
AT2G45560	2389	2494	3630	2692	3301	3634
AT2G45570	2	1	3	2	6	1
AT2G45580	3	2	0	0	0	0
AT2G45590	1021	1149	1254	838	1055	987
AT2G45600	147	115	135	147	114	118
AT2G45610	0	1	9	2	5	3
AT2G45620	939	1114	1077	784	1150	1001
AT2G45630	232	206	202	174	202	155
AT2G45640	661	653	590	486	589	480
AT2G45650	3	3	5	1	0	3
AT2G45660	1411	1467	2048	2106	2617	2335
AT2G45670	1268	1417	1836	2306	2848	2585
AT2G45680	40	42	36	36	52	56
AT2G45685	3	2	3	3	4	3
AT2G45690	139	157	142	261	366	333
AT2G45695	184	173	137	120	137	112
AT2G45700	540	555	539	507	659	551
AT2G45710	249	229	238	155	206	163
AT2G45720	225	232	228	158	198	165
AT2G45730	541	557	617	416	458	409
AT2G45740	3874	3537	4808	3483	3863	3807
AT2G45750	75	70	48	26	45	55
AT2G45760	2	1	2	3	3	8
AT2G45770	1347	1358	1257	2392	2588	2239
AT2G45780	4	2	6	4	11	4
AT2G45790	931	858	923	637	678	667
AT2G45800	8	15	28	31	34	35
AT2G45810	2136	2156	2623	2127	2644	2274
AT2G45820	3299	3299	2581	2761	3173	3089
AT2G45830	26	43	56	56	68	51
AT2G45840	5	7	7	2	9	6
AT2G45850	399	559	502	372	439	401
AT2G45860	223	173	113	87	132	110
AT2G45870	12	10	13	10	10	4
AT2G45880	352	384	384	291	337	303
AT2G45890	30	26	24	9	15	18
AT2G45900	109	58	74	35	39	36
AT2G45910	588	692	733	659	984	810
AT2G45920	154	152	162	211	298	285
AT2G45930	0	1	0	2	1	0
AT2G45940	0	1	0	1	0	1
AT2G45950	615	586	572	710	851	752
AT2G45960	5950	6540	7862	5329	6416	5435
AT2G45970	641	596	622	371	448	328
AT2G45980	666	699	956	721	876	776
AT2G45990	1166	1209	1491	1043	1247	1090
AT2G46000	128	85	79	85	80	66
AT2G46020	2482	2946	3019	2031	2987	2667
AT2G46030	368	359	407	374	402	345
AT2G46040	185	172	164	125	134	119
AT2G46050	4	5	11	4	7	10
AT2G46060	454	526	639	446	572	465
AT2G46070	376	394	340	239	330	229
AT2G46080	467	420	495	411	448	340
AT2G46090	350	301	384	445	498	406
AT2G46100	791	737	1488	1028	1245	1026
AT2G46110	130	118	134	109	97	103
AT2G46130	0	0	0	0	0	0
AT2G46140	43	34	22	19	9	14
AT2G46150	9	5	3	9	6	2
AT2G46160	38	34	45	46	60	53
AT2G46170	347	380	518	333	380	303
AT2G46180	567	613	600	535	708	685
AT2G46190	0	0	0	0	0	0
AT2G46192	332	300	369	231	261	264
AT2G46200	146	144	110	91	91	92
AT2G46210	18	20	32	20	11	14
AT2G46220	3501	3609	3546	4155	4626	3854
AT2G46225	318	323	350	259	272	241
AT2G46230	302	249	301	210	229	179
AT2G46240	398	384	431	678	809	957
AT2G46250	422	448	513	336	548	394
AT2G46255	0	0	0	0	0	0
AT2G46260	440	470	599	363	443	363
AT2G46270	14	33	19	27	38	44
AT2G46280	1443	1368	1484	891	983	814
AT2G46290	78	98	68	80	73	70
AT2G46300	8	2	2	1	1	6
AT2G46308	0	0	0	0	0	0
AT2G46310	134	115	104	73	98	75
AT2G46320	347	384	352	460	585	529
AT2G46330	427	369	296	309	252	241
