Gene	tpm_avg
ENSRNA049484836	4.135778
ENSRNA049484839	0
ENSRNA049484841	0
ENSRNA049484842	0
ENSRNA049484850	0
ENSRNA049484853	0
ENSRNA049484864	0
ENSRNA049484865	0
ENSRNA049484867	0
ENSRNA049484868	0
ENSRNA049484875	0
ENSRNA049484883	0
ENSRNA049484896	0
ENSRNA049484939	0
ENSRNA049484952	0
ENSRNA049485356	16.1885815
ENSRNA049485360	0
ENSRNA049485361	0
ENSRNA049485365	0
ENSRNA049485366	0
ENSRNA049485368	0
ENSRNA049485371	0
ENSRNA049485374	0
ENSRNA049485376	0
ENSRNA049485377	0
ENSRNA049485378	3.573236
ENSRNA049485379	0
ENSRNA049485380	0
ENSRNA049485381	0
ENSRNA049485382	0
ENSRNA049485385	0
ENSRNA049485389	0
ENSRNA049485401	0
ENSRNA049485423	0
ENSRNA049485425	0
ENSRNA049485427	0
ENSRNA049485428	0
ENSRNA049485436	6076.393847
ENSRNA049485458	0
ENSRNA049485459	0
ENSRNA049485461	0
ENSRNA049485463	0
ENSRNA049485470	70.2971345
ENSRNA049485510	0
ENSRNA049485512	0
ENSRNA049485513	0
ENSRNA049485526	7.2929665
ENSRNA049485533	175.284784
ENSRNA049485535	40957.4200665
ENSRNA049485541	19.967439
ENSRNA049485542	0
ENSRNA049485550	58.0923915
ENSRNA049485554	5.322413
ENSRNA049485566	2.9296765
ENSRNA049485567	1.4223905
ENSRNA049485569	78.1740505
ENSRNA049485570	1.996341
ENSRNA049485571	2.1333035
ENSRNA049485572	0.9181885
ENSRNA049485573	3.986653
ENSRNA049485574	1.0892515
ENSRNA049485575	0.674096
ENSRNA049485577	1.4078025
ENSRNA049485579	51.184652
ENSRNA049485582	24.615421
ENSRNA049485583	0
ENSRNA049485585	0
ENSRNA049485586	0
ENSRNA049485587	102.439887
ENSRNA049485589	0
ENSRNA049485591	0
ENSRNA049485592	0
SORBI_3001G000100	0.307155
SORBI_3001G000200	30.900755
SORBI_3001G000300	0
SORBI_3001G000400	7.583868
SORBI_3001G000501	0
SORBI_3001G000700	7.9920265
SORBI_3001G000800	361.7016475
SORBI_3001G000900	0.1693435
SORBI_3001G001000	0.9827785
SORBI_3001G001066	0
SORBI_3001G001132	3.8703065
SORBI_3001G001200	0.1755805
SORBI_3001G001300	34.223958
SORBI_3001G001400	32.7441965
SORBI_3001G001700	3.5646725
SORBI_3001G001800	0.437976
SORBI_3001G001900	23.016747
SORBI_3001G002000	25.3490115
SORBI_3001G002050	7.5442985
SORBI_3001G002100	1.2057235
SORBI_3001G002200	0
SORBI_3001G002300	2.4513055
SORBI_3001G002400	0.8095165
SORBI_3001G002500	0
SORBI_3001G002600	7.694736
SORBI_3001G002650	0
SORBI_3001G002700	3.9353555
SORBI_3001G002800	31.0297775
SORBI_3001G002900	0
SORBI_3001G003000	12.510835
SORBI_3001G003100	200.4402655
SORBI_3001G003200	217.1410595
SORBI_3001G003300	3.3688055
SORBI_3001G003400	1.451558
SORBI_3001G003500	22.685929
SORBI_3001G003600	7.781364
SORBI_3001G003700	10.0493685
SORBI_3001G003900	7.9435575
SORBI_3001G004000	1.6381365
SORBI_3001G004100	51.7723885
SORBI_3001G004200	14.794319
SORBI_3001G004300	3.561786
SORBI_3001G004400	22.5409995
SORBI_3001G004500	575.7626465
SORBI_3001G004550	0
SORBI_3001G004600	0.4853245
SORBI_3001G004700	5.6865555
SORBI_3001G004800	74.8295025
SORBI_3001G004901	0
SORBI_3001G005000	8.5513765
SORBI_3001G005100	0.0276815
SORBI_3001G005200	210.603996
SORBI_3001G005300	2.4870305
SORBI_3001G005400	0
SORBI_3001G005500	56.434502
SORBI_3001G005600	33.277428
SORBI_3001G005700	0.65387
SORBI_3001G005800	6.2764915
SORBI_3001G005900	85.70379
SORBI_3001G006000	16.8042255
SORBI_3001G006101	0
SORBI_3001G006201	0.229134
SORBI_3001G006300	2.048753
SORBI_3001G006400	119.3104785
SORBI_3001G006500	1.226253
SORBI_3001G006600	4.104046
SORBI_3001G006700	13.048643
SORBI_3001G006800	4.534503
SORBI_3001G006900	0
SORBI_3001G007000	31.212221
SORBI_3001G007100	11.3735
SORBI_3001G007200	23.265584
SORBI_3001G007300	2.895825
SORBI_3001G007400	33.65682
SORBI_3001G007500	11.339736
SORBI_3001G007600	73.974564
SORBI_3001G007700	1.627942
SORBI_3001G007800	8.093708
SORBI_3001G007900	12.029576
SORBI_3001G008000	2.514077
SORBI_3001G008100	19.3910745
SORBI_3001G008200	18.924942
SORBI_3001G008300	4.6803245
SORBI_3001G008400	6.001418
SORBI_3001G008500	18.36738
SORBI_3001G008600	2.140222
SORBI_3001G008700	18.178316
SORBI_3001G008800	23.5353225
SORBI_3001G008900	101.8419145
SORBI_3001G009000	0
SORBI_3001G009100	0.064338
SORBI_3001G009200	24.4681205
SORBI_3001G009300	101.9625855
SORBI_3001G009400	1.127047
SORBI_3001G009500	2.045834
SORBI_3001G009600	87.4349025
SORBI_3001G009700	32.985117
SORBI_3001G009800	41.271754
SORBI_3001G009900	4.2334065
SORBI_3001G010000	0.1931595
SORBI_3001G010100	123.2044235
SORBI_3001G010200	1.6694765
SORBI_3001G010300	6.2010435
SORBI_3001G010400	38.6098745
SORBI_3001G010500	0.888627
SORBI_3001G010600	76.1662095
SORBI_3001G010700	90.2271865
SORBI_3001G010800	38.565567
SORBI_3001G010900	12.901599
SORBI_3001G011000	48.075524
SORBI_3001G011100	0
SORBI_3001G011200	47.2360305
SORBI_3001G011300	30.185779
SORBI_3001G011400	110.1289435
SORBI_3001G011600	35.610934
SORBI_3001G011700	62.222973
SORBI_3001G011800	4.62863
SORBI_3001G012000	2.515138
SORBI_3001G012100	39.1738995
SORBI_3001G012200	331.170661
SORBI_3001G012300	321.298604
SORBI_3001G012400	313.3554055
SORBI_3001G012500	351.6773945
SORBI_3001G012600	203.614438
SORBI_3001G012700	3.4513615
SORBI_3001G012800	10.826335
SORBI_3001G012900	13.4933395
SORBI_3001G013000	15.9530795
