TXNAME	GENEID
KQL28785	SETIT_020609mg
KQL28787	SETIT_016414mg
KQL28788	SETIT_020461mg
KQL28795	SETIT_016599mg
KQL28799	SETIT_018395mg
KQL28800	SETIT_018395mg
KQL28798	SETIT_020496mg
KQL28801	SETIT_017191mg
KQL28804	SETIT_020202mg
KQL28805	SETIT_016138mg
KQL28816	SETIT_018102mg
KQL28819	SETIT_018969mg
KQL28822	SETIT_016430mg
KQL28823	SETIT_018591mg
KQL28828	SETIT_017741mg
KQL28831	SETIT_016876mg
KQL28833	SETIT_016957mg
KQL28834	SETIT_016957mg
KQL28836	SETIT_017974mg
ENSRNA050012396-T1	ENSRNA050012396
ENSRNA050012403-T1	ENSRNA050012403
KQL28837	SETIT_020400mg
ENSRNA050012394-T1	ENSRNA050012394
ENSRNA050012391-T1	ENSRNA050012391
ENSRNA050012393-T1	ENSRNA050012393
KQL28840	SETIT_018268mg
KQL28842	SETIT_017066mg
KQL28841	SETIT_017066mg
KQL28847	SETIT_019758mg
KQL28850	SETIT_017226mg
KQL28851	SETIT_016264mg
KQL28856	SETIT_016813mg
KQL28857	SETIT_016291mg
KQL28858	SETIT_018238mg
KQL28860	SETIT_016795mg
KQL28861	SETIT_020350mg
KQL28863	SETIT_016059mg
KQL28864	SETIT_016059mg
KQL28865	SETIT_016059mg
KQL28868	SETIT_018208mg
KQL28880	SETIT_017656mg
KQL28881	SETIT_016953mg
KQL28882	SETIT_018062mg
KQL28883	SETIT_018062mg
KQL28886	SETIT_019556mg
KQL28887	SETIT_019596mg
KQL28890	SETIT_020179mg
KQL28891	SETIT_018258mg
KQL28892	SETIT_020300mg
KQL28893	SETIT_020338mg
KQL28895	SETIT_017877mg
KQL28898	SETIT_017724mg
KQL28899	SETIT_019170mg
KQL28900	SETIT_017882mg
KQL28907	SETIT_017423mg
KQL28909	SETIT_017452mg
KQL28916	SETIT_019957mg
KQL28917	SETIT_019656mg
KQL28918	SETIT_017973mg
KQL28922	SETIT_019393mg
KQL28923	SETIT_018136mg
KQL28924	SETIT_020419mg
KQL28926	SETIT_016070mg
KQL28927	SETIT_018951mg
KQL28928	SETIT_020349mg
KQL28930	SETIT_018478mg
KQL28933	SETIT_017546mg
KQL28934	SETIT_018163mg
KQL28936	SETIT_018107mg
KQL28935	SETIT_020358mg
KQL28937	SETIT_020073mg
KQL28947	SETIT_020468mg
KQL28949	SETIT_020093mg
KQL28955	SETIT_017835mg
KQL28956	SETIT_017684mg
KQL28957	SETIT_017148mg
