Gene	tpm_avg
SETIT_000056mg	24.209772
SETIT_000057mg	21.5873385
SETIT_000059mg	4.2487185
SETIT_000060mg	3.636575
SETIT_000061mg	0.8234255
SETIT_000062mg	1.610117
SETIT_000063mg	22.9038095
SETIT_000064mg	10.0969695
SETIT_0000651mg	0
SETIT_0000652mg	12.012082
SETIT_000066mg	0.91318
SETIT_000067mg	16.2847735
SETIT_000068mg	153.466494
SETIT_000069mg	0.6515695
SETIT_000070mg	25.3492535
SETIT_000071mg	0.873583
SETIT_000072mg	34.9910385
SETIT_000073mg	10.531876
SETIT_000074mg	0.386858
SETIT_000076mg	2.2270605
SETIT_000077mg	0.0600345
SETIT_000078mg	9.628085
SETIT_000079mg	9.257622
SETIT_000080mg	31.851093
SETIT_000081mg	9.01761
SETIT_000082mg	9.0036175
SETIT_000083mg	6.0538665
SETIT_000084mg	22.4901865
SETIT_000085mg	9.841315
SETIT_000086mg	1.3209995
SETIT_000087mg	5.204713
SETIT_000088mg	17.3394495
SETIT_000089mg	1.5706545
SETIT_000090mg	0.6182215
SETIT_000092mg	110.032798
SETIT_000093mg	15.568152
SETIT_000095mg	7.3923015
SETIT_000097mg	11.668443
SETIT_000098mg	0
SETIT_000099mg	10.769572
SETIT_000100mg	4.112539
SETIT_000101mg	15.2128645
SETIT_000102mg	4.2417735
SETIT_000103mg	45.5050425
SETIT_000104mg	20.115176
SETIT_000105mg	0.6298505
SETIT_0001061mg	8.6426515
SETIT_0001062mg	13.730544
SETIT_000107mg	12.346066
SETIT_000108mg	17.0668565
SETIT_000109mg	28.473103
SETIT_000110mg	11.055245
SETIT_000111mg	4.040113
SETIT_000113mg	2.263929
SETIT_000114mg	0.912716
SETIT_000115mg	9.2286485
SETIT_000116mg	18.581435
SETIT_000117mg	39.5323775
SETIT_000118mg	12.1327675
SETIT_000120mg	4.1362765
SETIT_000121mg	0.3709065
SETIT_000122mg	106.7454605
SETIT_000123mg	23.8011125
SETIT_000124mg	6.0508935
SETIT_000125mg	8.012429
SETIT_000126mg	11.0140545
SETIT_000127mg	0
SETIT_0001281mg	0.053873
SETIT_0001282mg	58.7562585
SETIT_000130mg	287.719156
SETIT_000131mg	2.780555
SETIT_000132mg	41.611274
SETIT_000133mg	23.5055205
SETIT_000134mg	6.132604
SETIT_000136mg	7.439243
SETIT_000137mg	34.275969
SETIT_000140mg	1.1691665
SETIT_000141mg	0.7932625
SETIT_0001421mg	9.0005075
SETIT_0001422mg	6.5276125
SETIT_000143mg	1.1714475
SETIT_000144mg	0.750884
SETIT_000145mg	0.602323
SETIT_000146mg	18.249545
SETIT_000147mg	0.4847115
SETIT_000148mg	44.874204
SETIT_000149mg	3.441559
SETIT_000150mg	0
SETIT_000151mg	0.02113
SETIT_000152mg	0
SETIT_000153mg	15.059971
SETIT_000154mg	9.166941
SETIT_000155mg	1.4763435
SETIT_000156mg	0.4363265
SETIT_000157mg	0.0212355
SETIT_000159mg	4.4272425
SETIT_000160mg	8.1239465
SETIT_000161mg	4.721367
SETIT_000162mg	0.190718
SETIT_000163mg	1.4235085
SETIT_000164mg	0
SETIT_000165mg	10.066581
SETIT_000166mg	316.704394
SETIT_000168mg	50.217337
SETIT_000171mg	191.2912605
SETIT_000172mg	1.0805955
SETIT_000173mg	42.4433395
SETIT_000176mg	0.046284
SETIT_000177mg	35.3278865
SETIT_000179mg	61.724663
SETIT_000180mg	23.7296775
SETIT_000181mg	16.73226
SETIT_000182mg	26.2785245
SETIT_000183mg	3.8648135
SETIT_000184mg	3.6682475
SETIT_000185mg	0.021865
SETIT_000186mg	9.667966
SETIT_000187mg	63.250997
SETIT_000188mg	7.0150395
SETIT_000189mg	3.51015
SETIT_000190mg	0.592319
SETIT_000191mg	4.9569995
SETIT_0001921mg	23.547442
SETIT_0001922mg	12.732367
SETIT_000193mg	27.3881625
SETIT_000194mg	2.1351435
SETIT_000195mg	6.156329
SETIT_000196mg	1.4995245
SETIT_000197mg	0.432022
SETIT_000198mg	27.9995335
SETIT_000199mg	0.612865
SETIT_000200mg	10.247995
SETIT_000201mg	79.809985
SETIT_000202mg	12.968537
SETIT_000203mg	13.493072
SETIT_000204mg	66.072846
SETIT_000205mg	21.8856575
SETIT_000206mg	44.682218
SETIT_000207mg	7.9232875
SETIT_000209mg	1.4183295
SETIT_000210mg	8.278612
SETIT_000211mg	152.7898625
SETIT_000212mg	4.3885175
SETIT_000213mg	16.0253955
SETIT_000214mg	7.7948345
SETIT_000215mg	2.290915
SETIT_000216mg	53.369251
SETIT_000217mg	31.507349
SETIT_000218mg	39.7365225
SETIT_000219mg	2.238208
SETIT_000220mg	15.6266865
SETIT_000221mg	9.44564
SETIT_000222mg	9.6160595
SETIT_000223mg	4.490789
SETIT_000224mg	3.9426445
SETIT_000225mg	7.0519
SETIT_000227mg	7.9555515
SETIT_000228mg	0.2094805
SETIT_000229mg	1.2767875
SETIT_000230mg	6.676013
SETIT_000232mg	1.841577
SETIT_000233mg	2.802897
SETIT_000234mg	21.797351
SETIT_000235mg	0
SETIT_000236mg	1.641488
SETIT_000237mg	0.4934305
SETIT_000238mg	93.575706
SETIT_000239mg	2.9213755
SETIT_000241mg	9.360682
SETIT_000242mg	21.9608115
SETIT_000243mg	1.7018025
SETIT_000244mg	38.7197985
